Model,RMSE,MAE,R2
Linear Regression,0.5391261685484714,0.5219394462618092,-11.652954806576348
Random Forest,0.3505759831718694,0.31612030260640056,-4.350266970335247
SVR,0.14506671978478658,0.12014095699495302,0.08389191944260588
