Statistic,Year,Month,Day,Day of Year,Anomaly,Temperature
count,48578.0,48578.0,48578.0,48578.0,48578.0,48578.0
mean,1946.0,6.52,15.73,183.0,0.02,8.61
std,38.39,3.45,8.8,105.33,0.61,0.61
min,1880.0,1.0,1.0,1.0,-2.73,5.86
25%,1913.0,4.0,8.0,92.0,-0.37,8.22
50%,1946.0,7.0,16.0,183.0,-0.03,8.56
75%,1979.0,10.0,23.0,274.0,0.37,8.96
max,2012.0,12.0,31.0,365.0,2.55,11.14
